australia/IN/IN run 1: research resolved, plan answered, True (39.2s)
new-zealand/IN/IN run 1: research resolved, plan answered, None (61.4s)
china/IN/IN run 1: research resolved, plan answered, True (64.0s)
south-korea/IN/IN run 1: research resolved, plan answered, True (43.2s)
thailand/IN/IN run 1: research resolved, plan answered, False (36.6s)
vietnam/IN/IN run 1: research resolved, plan answered, True (34.0s)
turkey/IN/IN run 1: research resolved, plan answered, None (80.2s)
south-africa/IN/IN run 1: research resolved, plan refused,  (56.7s)
spain/IN/IN run 1: research resolved, plan answered, True (63.5s)
switzerland/IN/IN run 1: research resolved, plan answered, True (46.3s)
australia/IN/IN run 2: research resolved, plan answered, True (42.2s)
new-zealand/IN/IN run 2: research resolved, plan answered, None (44.9s)
china/IN/IN run 2: research resolved, plan answered, True (60.3s)
south-korea/IN/IN run 2: research resolved, plan answered, True (66.7s)
thailand/IN/IN run 2: research resolved, plan answered, False (37.0s)
vietnam/IN/IN run 2: research resolved, plan answered, True (42.0s)
turkey/IN/IN run 2: research resolved, plan answered, True (67.4s)
south-africa/IN/IN run 2: research resolved, plan answered, True (65.9s)
spain/IN/IN run 2: research resolved, plan answered, True (65.9s)
switzerland/IN/IN run 2: research resolved, plan answered, True (45.8s)
done
