australia/IN/IN run 1: research resolved, plan answered, True (47.5s)
new-zealand/IN/IN run 1: research resolved, plan answered, None (60.3s)
china/IN/IN run 1: research resolved, plan answered, None (59.7s)
south-korea/IN/IN run 1: research resolved, plan answered, None (87.9s)
thailand/IN/IN run 1: research resolved, plan answered, False (37.9s)
vietnam/IN/IN run 1: research resolved, plan answered, True (41.2s)
turkey/IN/IN run 1: research resolved, plan answered, True (67.2s)
south-africa/IN/IN run 1: research resolved, plan answered, None (77.4s)
spain/IN/IN run 1: research resolved, plan answered, True (65.7s)
switzerland/IN/IN run 1: research resolved, plan answered, True (42.6s)
australia/IN/IN run 2: research resolved, plan answered, True (38.3s)
new-zealand/IN/IN run 2: research resolved, plan answered, None (58.5s)
china/IN/IN run 2: research resolved, plan answered, None (59.3s)
south-korea/IN/IN run 2: research resolved, plan answered, None (43.8s)
thailand/IN/IN run 2: research resolved, plan answered, False (28.3s)
vietnam/IN/IN run 2: research resolved, plan answered, True (51.1s)
turkey/IN/IN run 2: research resolved, plan answered, True (79.3s)
south-africa/IN/IN run 2: research resolved, plan answered, False (61.5s)
spain/IN/IN run 2: research resolved, plan answered, True (53.4s)
switzerland/IN/IN run 2: research resolved, plan refused,  (46.0s)
done
